Archive:  ode11etc.zip
 Length  Method   Size  Ratio   Date    Time   CRC-32     Name
   1955  Implode   1148  41%  01-23-94  01:19  c68ed8ef   readme.txt
   7790  Implode   3209  59%  10-13-92  22:50  e9843e69   regcop.mac
   4224  Implode    451  89%  10-13-92  22:57  60a3b2a0   regcop.od
   2063  Implode    706  66%  10-13-92  23:00  479433d5   regcop0.ode
    168  Shrunk     167   1%  10-13-92  23:00  e74c1ee8   regcop0.sav
    724  Implode    382  47%  10-13-92  23:46  79ad90cc   regcopr.od
  14803  Implode   5585  62%  10-06-92  23:40  422ba974   regper.mac
   2232  Implode    593  73%  05-21-92  02:23  66f6e108   reva.dmp
    254  Shrunk     165  35%  05-21-92  02:02  88d654bd   reva.o11
    416  Implode    183  56%  05-21-92  02:27  62ca7926   reva.tst
    549  Implode    229  58%  01-17-80  14:11  d41691e6   selfmod.a11
   3832  Implode   1401  63%  10-04-92  02:55  cda1bd45   selfmod2.a11
    311  Shrunk     229  26%  10-11-92  19:33  527dca10   strdup.c
   7053  Implode   2313  67%  09-01-91  18:12  773f48ec   streq.asm
   5366  Implode   2005  63%  09-01-91  18:10  c4a909be   strfuns2.c
   5165  Implode   1631  68%  06-07-88  03:24  df34d57a   summary.c
    182  Shrunk     116  36%  07-01-90  05:49  ee3b3559   testi.o11
    211  Shrunk     126  40%  10-07-90  20:33  06671d8a   testi2.o11
    211  Shrunk     126  40%  10-07-90  20:32  06671d8a   testi2.org
   2227  Implode    885  60%  07-01-90  03:11  8a4a6a1c   timefuns.c
     56  Shrunk      49  13%  09-04-90  23:49  5f212e53   vode.bat
     29  Stored      29   0%  09-02-90  14:37  26a9b2ce   vode2.bat
   7019  Implode   2778  60%  01-20-92  07:18  6050a9e3   wildcard.c
 ------          ------  ---                              -------
 598589          199815  67%                              107    
